"TIME","GEO","WASTE","WST_OPER","UNIT","Value","Flag and Footnotes"
"1999","Malta","Packaging","Recovery","Tonne",":",""
"1999","Netherlands","Packaging","Waste generated","Kilograms per capita","163.99",""
"1999","Netherlands","Packaging","Waste generated","Tonne","2,593,000",""
"1999","Netherlands","Packaging","Recovery","Kilograms per capita","139.83",""
"1999","Netherlands","Packaging","Recovery","Tonne","2,211,000",""
"1999","Austria","Packaging","Waste generated","Kilograms per capita","141.39",""
"1999","Austria","Packaging","Waste generated","Tonne","1,130,000",""
"1999","Austria","Packaging","Recovery","Kilograms per capita","101.6",""
"1999","Austria","Packaging","Recovery","Tonne","812,000",""
"1999","Poland","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Poland","Packaging","Waste generated","Tonne",":",""
"1999","Poland","Packaging","Recovery","Kilograms per capita",":",""
"1999","Poland","Packaging","Recovery","Tonne",":",""
"1999","Portugal","Packaging","Waste generated","Kilograms per capita","118.54",""
"1999","Portugal","Packaging","Waste generated","Tonne","1,211,172",""
"1999","Portugal","Packaging","Recovery","Kilograms per capita","41.4",""
"1999","Portugal","Packaging","Recovery","Tonne","422,971",""
"1999","Romania","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Romania","Packaging","Waste generated","Tonne",":",""
"1999","Romania","Packaging","Recovery","Kilograms per capita",":",""
"1999","Romania","Packaging","Recovery","Tonne",":",""
"1999","Slovenia","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Slovenia","Packaging","Waste generated","Tonne",":",""
"1999","Slovenia","Packaging","Recovery","Kilograms per capita",":",""
"1999","Slovenia","Packaging","Recovery","Tonne",":",""
"1999","Slovakia","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Slovakia","Packaging","Waste generated","Tonne",":",""
"1999","Slovakia","Packaging","Recovery","Kilograms per capita",":",""
"1999","Slovakia","Packaging","Recovery","Tonne",":",""
"1999","Finland","Packaging","Waste generated","Kilograms per capita","85.68",""
"1999","Finland","Packaging","Waste generated","Tonne","442,600",""
"1999","Finland","Packaging","Recovery","Kilograms per capita","51.4",""
"1999","Finland","Packaging","Recovery","Tonne","265,500",""
"1999","Sweden","Packaging","Waste generated","Kilograms per capita","109.73",""
"1999","Sweden","Packaging","Waste generated","Tonne","972,000",""
"1999","Sweden","Packaging","Recovery","Kilograms per capita","80.14",""
"1999","Sweden","Packaging","Recovery","Tonne","709,900",""
"1999","Iceland","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Iceland","Packaging","Waste generated","Tonne",":",""
"1999","Iceland","Packaging","Recovery","Kilograms per capita",":",""
"1999","Iceland","Packaging","Recovery","Tonne",":",""
"1999","Liechtenstein","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Liechtenstein","Packaging","Waste generated","Tonne",":",""
"1999","Liechtenstein","Packaging","Recovery","Kilograms per capita",":",""
"1999","Liechtenstein","Packaging","Recovery","Tonne",":",""
"1999","Norway","Packaging","Waste generated","Kilograms per capita",":",""
"1999","Norway","Packaging","Waste generated","Tonne",":",""
"1999","Norway","Packaging","Recovery","Kilograms per capita",":",""
"1999","Norway","Packaging","Recovery","Tonne",":",""
"1999","United Kingdom","Packaging","Waste generated","Kilograms per capita","156.78",""
"1999","United Kingdom","Packaging","Waste generated","Tonne","9,200,244",""
"1999","United Kingdom","Packaging","Recovery","Kilograms per capita","63.79",""
"1999","United Kingdom","Packaging","Recovery","Tonne","3,743,239",""
"2000","Belgium","Packaging","Waste generated","Kilograms per capita","145.96",""
"2000","Belgium","Packaging","Waste generated","Tonne","1,496,290",""
"2000","Belgium","Packaging","Recovery","Kilograms per capita","103.54",""
"2000","Belgium","Packaging","Recovery","Tonne","1,061,370",""
"2000","Bulgaria","Packaging","Waste generated","Kilograms per capita",":",""
"2000","Bulgaria","Packaging","Waste generated","Tonne",":",""
"2000","Bulgaria","Packaging","Recovery","Kilograms per capita",":",""
"2000","Bulgaria","Packaging","Recovery","Tonne",":",""
"2000","Czechia","Packaging","Waste generated","Kilograms per capita",":",""
"2000","Czechia","Packaging","Waste generated","Tonne",":",""
"2000","Czechia","Packaging","Recovery","Kilograms per capita",":",""
"2000","Czechia","Packaging","Recovery","Tonne",":",""
"2000","Denmark","Packaging","Waste generated","Kilograms per capita","159.61",""
"2000","Denmark","Packaging","Waste generated","Tonne","852,258",""
"2000","Denmark","Packaging","Recovery","Kilograms per capita","145.51",""
"2000","Denmark","Packaging","Recovery","Tonne","776,958",""
"2000","Germany (until 1990 former territory of the FRG)","Packaging","Waste generated","Kilograms per capita","183.93",""
"2000","Germany (until 1990 former territory of the FRG)","Packaging","Waste generated","Tonne","15,121,100",""
"2000","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Kilograms per capita","148.3",""
"2000","Germany (until 1990 former territory of the FRG)","Packaging","Recovery","Tonne","12,191,600",""
"2000","Estonia","Packaging","Waste generated","Kilograms per capita",":",""
"2000","Estonia","Packaging","Waste generated","Tonne",":",""
"2000","Estonia","Packaging","Recovery","Kilograms per capita",":",""
"2000","Estonia","Packaging","Recovery","Tonne",":",""
"2000","Ireland","Packaging","Waste generated","Kilograms per capita","208.98",""
"2000","Ireland","Packaging","Waste generated","Tonne","795,197",""
"2000","Ireland","Packaging","Recovery","Kilograms per capita","39.5",""
"2000","Ireland","Packaging","Recovery","Tonne","150,290",""
"2000","Greece","Packaging","Waste generated","Kilograms per capita","86.48",""
"2000","Greece","Packaging","Waste generated","Tonne","934,500",""
"2000","Greece","Packaging","Recovery","Kilograms per capita","28.79",""
"2000","Greece","Packaging","Recovery","Tonne","311,100",""
"2000","Spain","Packaging","Waste generated","Kilograms per capita","163.38",""
"2000","Spain","Packaging","Waste generated","Tonne","6,628,035",""
"2000","Spain","Packaging","Recovery","Kilograms per capita","72.14",""
"2000","Spain","Packaging","Recovery","Tonne","2,926,461",""
"2000","France","Packaging","Waste generated","Kilograms per capita","205.7",""
